company_name,ship_type,gt,dwt,length,width,age,imo,port_of_registry,fuel_consumption,total_co2_emissions,annual_hrs_at_sea,tech_eff_index,tech_eff_value,median_time_in_port_hours,cii_rating
PRELUDE,Offshore Support Vessel,499167,394330,489,74,8,9365623,Port Victoria,2689.0,8474.77,2177.73,EIV,7.29,23.759999999999998,B
PRELUDE,Offshore Support Vessel,499167,394330,489,74,8,9810654,PANAMA,503.9,1583.55,593.4,EEDI,5.05,36.96,A
MSC LORETO,Container Ship,236184,240000,399,60,2,9934735,Monrovia,14308.65,44602.04,2668.0,EEXI,6.21,35.04,D
MSC FEBE,Container Ship,232618,228149,400,62,6,9839478,Panama,6075.67,18956.3,1199.23,EEXI,7.29,14.399999999999999,A
MSC ARINA,Container Ship,228741,228111,400,61,6,9839284,Panama,16857.12,52535.95,3088.9,EEXI,7.08,16.080000000000002,E
EVER GOVERN,Container Ship,219688,198937,400,59,6,9832717,PANAMA,17943.54,55994.22,3700.0,EEDI,7.48,13.68,E
MAASTRICHT MAERSK,Container Ship,214286,190326,399,59,6,9780483,Kobenhavn,6568.43,20468.92,1594.42,EEDI,6.7,20.4,E
ONE TREASURE,Container Ship,210691,189766,400,58,7,9184859,Monrovia,727.73,2311.12,744.0,EIV,16.88,24.48,A
ONE TREASURE,Container Ship,210691,189766,400,58,7,9773222,PANAMA,10745.91,33937.76,3483.4,EEDI,7.61,24.72,C
SAHAM MAX,Bulk Carrier,201705,400694,360,65,12,9176058,Aarhus,3698.85,11858.51,1197.13,EIV,1.67,67.44,A
BARZAN,Container Ship,195636,199744,400,59,10,9708851,Hamburg,8431.94,24297.8,2394.9,EEXI,5.35,21.6,E
MARSTAL MAERSK,Container Ship,194849,213971,399,59,11,9619971,Marstal,19318.9,60159.25,3920.34,EEXI,6.79,8.399999999999999,E
MSC DIANA,Container Ship,194250,202036,400,59,9,9755933,Monrovia,7814.37,24344.8,1792.0,EEXI,7.47,15.600000000000001,A
MSC NEW YORK,Container Ship,176490,186766,399,54,11,9606314,Panama,6861.77,21621.5,1647.8,EEXI,7.3,7.199999999999999,E
HONG KONG SPIRIT,Crude Oil Tanker,166231,318473,333,60,12,9273387,HAI PHONG,714.62,2230.34,553.9,EEXI,6.14,19.68,A
HONG KONG SPIRIT,Crude Oil Tanker,166231,318473,333,60,12,9456953,Majuro,5268.78,16512.91,3521.76,EEXI,13.77,28.08,C
NEW PROSPERITY,Crude Oil Tanker,165209,318607,333,60,10,9689988,Hong Kong,1596.15,5048.94,753.25,EEXI,2.13,15.36,A
DAN,Crude Oil Tanker,164241,319999,333,60,16,9451290,Monrovia,487.77,1537.63,956.8,EIV,7.52,20.64,A
DAN,Crude Oil Tanker,164241,319999,333,60,16,9608831,Singapore,0.0,0.0,0.0,EIV,9.89,31.68,A
SAN RAMON VOYAGER,Crude Oil Tanker,163214,318608,336,60,6,9553256,Monrovia,900.97,2835.02,1062.02,EEXI,4.15,26.160000000000004,A
MARAN THETIS,Crude Oil Tanker,162018,320105,333,60,13,9738208,Monrovia,1345.96,4234.01,1454.43,EEXI,3.95,41.04,A
SEAWAYS DIAMOND HEAD,Crude Oil Tanker,161319,299989,333,60,9,9315446,Monrovia,1588.72,5014.7,952.0,EEXI,3.37,23.759999999999998,A
STELLAR RIO,Bulk Carrier,160666,298450,332,58,31,9039975,Moroni,560.9,1758.6,3534.41,EEXI,12.52,65.03999999999999,A
SPLENDOR,Crude Oil Tanker,160299,306474,331,58,32,9575096,Hong Kong,1681.1,5253.13,1025.2,EEDI,2.53,25.68,A
SPLENDOR,Crude Oil Tanker,160299,306474,331,58,32,9702431,JEJU,2302.52,7209.01,1265.0,EEDI,15.4,26.64,A
SPLENDOR,Crude Oil Tanker,160299,306474,331,58,32,9727132,PANAMA,732.7,2288.49,728.3,EEDI,3.66,24.72,A
SPLENDOR,Crude Oil Tanker,160299,306474,331,58,32,9763332,Majuro,4293.53,13431.41,3954.02,EEXI,5.3,16.080000000000002,A
SPLENDOR,Crude Oil Tanker,160299,306474,331,58,32,9807085,Majuro,10360.09,33214.44,3185.53,EEXI,13.4,25.200000000000003,E
SPLENDOR,Crude Oil Tanker,160299,306474,331,58,32,9911991,Hong Kong,3651.34,11447.02,2094.2,EEXI,1.66,10.56,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9255517,Port Victoria,3484.01,11064.63,2979.06,EIV,7.03,14.64,C
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9260079,Majuro,1908.04,6032.54,2542.2,EIV,6.56,31.68,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9471018,Panama,2035.52,6426.71,1550.02,EIV,9.98,30.240000000000002,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9471630,Monrovia,1020.6,3231.36,834.03,EEXI,3.28,7.68,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9486532,HONG KONG,1007.9,3197.36,246.5,EIV,2.49,17.759999999999998,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9572757,Madeira,3018.69,9577.63,3120.46,EEXI,7.56,12.96,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9577070,Monrovia,1330.39,4179.55,859.0,EIV,4.52,15.84,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9595632,Singapore,570.94,1789.05,412.3,EEXI,3.92,28.08,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9636943,Hong Kong,565.07,1770.19,672.97,EEXI,5.44,15.36,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9640126,Monrovia,815.26,2558.19,984.3,EEXI,7.83,20.64,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9679385,Majuro,2876.0,9043.55,2774.43,EEXI,4.14,16.080000000000002,D
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9712199,Hong Kong,1068.55,3362.85,1207.82,EEXI,3.84,31.68,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9739082,Hong Kong,881.13,2795.32,1117.1,EEXI,5.2,26.160000000000004,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9792747,Singapore,680.88,2126.62,374.2,EEDI,6.19,41.04,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9835044,Stavanger,2312.55,7243.99,2494.6,EEDI,4.17,23.759999999999998,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9856294,PANAMA,1922.78,6096.55,1634.9,EEDI,3.45,31.200000000000003,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9897559,Antwerpen,666.9,2087.49,375.5,EEXI,4.77,25.68,A
PIONEER,Crude Oil Tanker,160216,306397,334,58,26,9946300,Nassau,3974.11,12467.13,1716.65,EEXI,2.75,26.64,C
BASRA,Crude Oil Tanker,160087,298981,339,60,4,9876438,Monrovia,2237.44,7012.26,955.7,EEDI,2.06,24.72,A
NEW PIONEER,Crude Oil Tanker,157052,297058,330,60,15,9260079,Majuro,1908.04,6032.54,2542.2,EIV,6.56,16.080000000000002,A
NEW PIONEER,Crude Oil Tanker,157052,297058,330,60,15,9486532,HONG KONG,1007.9,3197.36,246.5,EIV,2.49,25.200000000000003,A
NEW PROSPECT,Crude Oil Tanker,156921,297934,330,60,16,9398058,Monrovia,1670.02,5282.83,763.5,EEXI,2.21,10.56,A
STELLAR UNICORN,Bulk Carrier,156352,279022,330,56,32,9595931,Monrovia,387.7,1218.65,380.53,EEXI,4.15,53.760000000000005,A
SEAWAYS ENTERPRISE,Crude Oil Tanker,156186,300000,336,60,2,9522934,Monrovia,1857.19,5822.08,2380.06,EEXI,5.05,31.68,A
SEAWAYS ENTERPRISE,Crude Oil Tanker,156186,300000,336,60,2,9933585,Majuro,5430.31,16551.52,2645.3,EEDI,1.69,30.240000000000002,E
YIANNIS LATSIS,Crude Oil Tanker,154792,299999,330,60,3,9879674,Piraeus,5620.76,15744.86,3412.81,EEDI,4.59,7.68,E
YIANNIS LATSIS,Crude Oil Tanker,154792,299999,330,60,3,9923487,Piraeus,3513.9,10987.09,1594.7,EEDI,2.0,17.759999999999998,E
ALICE,Crude Oil Tanker,154379,299320,333,60,9,8927979,Malakal Harbor,102.57,328.84,499.87,EEXI,13.16,12.96,A
ALICE,Crude Oil Tanker,154379,299320,333,60,9,9465966,Singapore,3233.84,10122.42,2614.47,EEXI,4.94,15.84,A
ALICE,Crude Oil Tanker,154379,299320,333,60,9,9478303,Herning,2246.63,7086.74,4858.1,EEXI,14.47,19.68,A
ALICE,Crude Oil Tanker,154379,299320,333,60,9,9509164,Monrovia,6979.56,21749.51,3299.12,EEXI,14.11,28.08,A
ALICE,Crude Oil Tanker,154379,299320,333,60,9,9887384,Monrovia,1342.31,4203.09,1654.4,EEXI,6.39,20.64,A
ALICE,Crude Oil Tanker,154379,299320,333,60,9,9938767,Genoa,559.11,1559.85,845.8,EEDI,19.96,16.080000000000002,A
ALICE,Crude Oil Tanker,154379,299320,333,60,9,9942720,Madeira,1128.21,3536.18,874.5,EEDI,3.86,31.68,A
SEAPASSION,Crude Oil Tanker,154182,299271,333,60,8,9783734,Nassau,4009.4,12504.11,2044.1,EEXI,2.19,26.160000000000004,A
MAERSK HANOI,Container Ship,153773,178257,353,54,7,9784295,Singapore,1978.91,6190.6,988.86,EEXI,7.86,25.92,A
GEMMA,Bulk Carrier,151915,313049,330,57,13,9436719,Valletta,4298.8,13625.71,4400.68,EEXI,5.48,65.03999999999999,A
GEMMA,Bulk Carrier,151915,313049,330,57,13,9722338,MAJURO,2139.8,6698.6,2073.73,EEDI,3.87,27.839999999999996,A
GEMMA,Bulk Carrier,151915,313049,330,57,13,9808314,VALETTA,1548.25,4866.53,1409.0,EEXI,5.53,25.68,B
GEMMA,Bulk Carrier,151915,313049,330,57,13,9936616,Monrovia,2429.7,7577.15,514.4,EEXI,6.13,8.879999999999999,A
CMA CGM ARCTIC,Container Ship,150844,159614,366,51,3,9315173,Monrovia,4242.91,13301.88,2382.8,EIV,3.6,13.68,A
CMA CGM ARCTIC,Container Ship,150844,159614,366,51,3,9867841,Valletta,5420.27,15628.59,1382.7,EEDI,6.52,20.4,A
MSC VIRGO,Container Ship,149525,158097,366,48,5,9417218,Monrovia,1566.85,4935.14,1156.0,EIV,6.14,24.48,A
MSC VIRGO,Container Ship,149525,158097,366,48,5,9857171,Madeira,4508.67,14113.88,1257.1,EEXI,7.14,24.72,E
THESEUS,Container Ship,149210,153594,369,51,9,9728954,Valletta,1908.19,5969.01,676.2,EEXI,8.35,23.28,A
PACIFIC CORAL,Bulk Carrier,148169,265278,324,56,30,9308900,Aalborg,2272.71,7286.31,4154.69,EIV,17.92,43.68,C
YM WHOLESOME,Container Ship,145324,145502,368,51,10,9704611,Hong Kong,3530.49,11044.31,1329.68,EEXI,8.77,15.600000000000001,A
DIAMOND GAS ROSE,LNG Tanker,144828,94145,294,49,7,9315446,Monrovia,1588.72,5014.7,952.0,EEXI,3.37,24.96,A
DIAMOND GAS ROSE,LNG Tanker,144828,94145,294,49,7,9464508,MONROVIA,777.91,2438.54,815.8,EIV,5.01,26.880000000000003,A
DIAMOND GAS ROSE,LNG Tanker,144828,94145,294,49,7,9779238,SINGAPORE,6076.3,16788.68,2488.3,EIV,4.14,19.919999999999998,D
DIAMOND GAS ROSE,LNG Tanker,144828,94145,294,49,7,9806732,Panama,832.84,2618.81,1662.78,EEDI,22.3,28.56,A
ULSAN EXPRESS,Container Ship,143262,142023,367,48,11,9243306,Monrovia,3747.91,11678.9,1936.22,EIV,13.27,20.4,A
HYUNDAI PRIDE,Container Ship,142620,145683,366,48,11,9480277,MONROVIA,323.67,1016.86,706.42,EIV,10.64,14.399999999999999,A
COSCO GLORY,Container Ship,141823,140637,366,48,14,9466245,Hong Kong,6485.46,20224.48,2282.57,EEXI,8.84,16.080000000000002,A
ONAIZA,LNG Tanker,136980,121939,315,50,16,9397353,Majuro,15093.89,47591.77,2588.5,EEXI,6.13,29.28,D
AL GHARRAFA,LNG Tanker,136410,106898,315,50,17,9337717,Majuro,6265.8,19752.71,1110.7,EEXI,6.31,27.36,A
INDIGO HOPE,Bulk Carrier,132508,251019,330,57,12,9545053,Monrovia,1704.97,5362.63,1853.0,EEXI,5.27,25.92,A
MARVEL EAGLE,LNG Tanker,128917,83571,300,49,7,9227869,Guinea-Bissau,340.54,1077.67,944.98,EIV,7.42,29.04,A
ALTO ACRUX,LNG Tanker,122361,80229,288,49,17,9277333,St. John's,1647.88,5211.94,3340.16,EEXI,10.8,23.28,A
LNG JUPITER,LNG Tanker,121675,81950,290,49,16,9287194,Nassau,1532.47,4807.2,1805.9,EEXI,2.59,28.08,A
ENERGY FRONTIER,LNG Tanker,119393,73795,290,49,22,9255787,Madeira,4977.68,15550.34,5619.39,EEXI,28.8,25.92,A
ELISA AQUILA,LNG Tanker,118753,95131,297,47,3,9521473,PIRAEUS,1511.7,4722.37,604.5,EEXI,2.13,34.08,A
ELISA AQUILA,LNG Tanker,118753,95131,297,47,3,9730232,Majuro,1452.52,4538.68,1614.7,EEXI,4.03,37.92,A
ELISA AQUILA,LNG Tanker,118753,95131,297,47,3,9884473,Marseille,7714.01,21347.68,2856.48,EEDI,4.7,49.67999999999999,E
EVER FUTURE,Container Ship,117340,127076,334,48,4,9566447,Majuro,861.37,2707.26,900.37,EEXI,4.17,23.28,A
COOL RACER,LNG Tanker,116354,93423,299,46,4,9869265,Valletta,1389.8,3843.47,659.36,EEDI,5.89,24.240000000000002,A
GASLOG GEORGETOWN,LNG Tanker,115636,88184,293,46,5,9864916,Hamilton,7893.56,21960.66,2918.51,EEDI,4.49,12.48,E
BW ENN SNOW LOTUS,LNG Tanker,115373,93980,295,46,3,9193525,Alexandria,237.17,760.37,315.38,EIV,20.02,16.799999999999997,A
BW ENN SNOW LOTUS,LNG Tanker,115373,93980,295,46,3,9896921,Singapore,1886.4,5402.66,997.9,EEXI,4.36,51.12,A
PAN AFRICA,LNG Tanker,114996,88438,290,47,6,9905320,Monrovia,2690.52,8402.34,1576.2,EEDI,2.57,27.119999999999997,A
SPIRIT OF HELA,LNG Tanker,114277,87130,298,46,15,9273387,HAI PHONG,714.62,2230.34,553.9,EEXI,6.14,26.400000000000002,A
EXPRESS ROME,Container Ship,113973,122961,349,46,14,9447861,Madeira,3012.4,9415.98,719.8,EEXI,7.85,16.32,A
MARAN GAS ANDROS,LNG Tanker,113793,94638,295,46,6,9810379,Piraeus,12787.57,35886.56,5672.59,EEDI,5.52,25.44,E
FLEX ENDEAVOUR,LNG Tanker,113049,95803,295,46,7,9762261,Majuro,9020.61,24418.62,2442.8,EEXI,3.1,25.200000000000003,B
GASLOG GENEVA,LNG Tanker,112764,87760,291,46,9,9707508,Hamilton,3057.93,8442.68,1099.0,EEXI,5.77,21.84,A
