Economy_Label,CommercialMarket_Label,Average_age_of_vessels_years_Value,Median_time_in_port_days_Value,Average_size_GT_of_vessels_Value,Average_cargo_carrying_capacity_dwt_per_vessel_Value,Average_container_carrying_capacity_TEU_per_container_ship_Value,Maximum_size_GT_of_vessels_Value,Maximum_cargo_carrying_capacity_dwt_of_vessels_Value,Maximum_container_carrying_capacity_TEU_of_container_ships_Value
"World","All ships",18,0.99,14475,25662,3576,237000,404389,24116
"World","Liquid bulk carriers",15,0.99,16122,28406,,170618,323514,
"World","Liquefied petroleum gas carriers",16,1.04,11002,12303,,60784,64220,
"World","Liquefied natural gas carriers",12,1.12,93190,72828,,168189,155159,
"World","Dry bulk carriers",15,2.13,32746,58623,,204014,404389,
"World","Dry breakbulk carriers",21,1.08,5610,7799,,149944,175897,
"World","Roll-on/ roll-off ships",18,,26257,10443,,100430,55828,
"World","Container ships",15,0.71,38683,,3576,237000,,24116
"World","Passenger ships",20,,8377,,,235600,,
"Australia","All ships",17,1.54,34502,82240,4334,168666,297902,9661
"Australia","Liquid bulk carriers",9,1.3,24799,42043,,85496,162342,
"Australia","Liquefied petroleum gas carriers",8,0.83,12940,13820,,53573,58811,
"Australia","Liquefied natural gas carriers",11,1.19,112020,85667,,149367,97955,
"Australia","Dry bulk carriers",11,1.67,60018,112233,,152311,297902,
"Australia","Dry breakbulk carriers",13,1.94,17202,25894,,66870,80500,
"Australia","Roll-on/ roll-off ships",11,,40129,14833,,76420,43878,
"Australia","Container ships",15,1.44,47224,,4334,111249,,9661
"Australia","Passenger ships",27,,8167,,,168666,,
"Canada","All ships",25,0.57,11545,33981,5469,225282,318918,16000
"Canada","Liquid bulk carriers",13,1.07,23240,38649,,161593,318918,
"Canada","Liquefied petroleum gas carriers",9,1.56,45810,52447,,50174,58899,
"Canada","Dry bulk carriers",22,0.36,28039,48148,,109982,210963,
"Canada","Dry breakbulk carriers",9,0.14,9255,11016,,49091,81279,
"Canada","Roll-on/ roll-off ships",15,,14330,6859,,100430,55828,
"Canada","Container ships",15,1.46,59803,,5469,176546,,16000
"Canada","Passenger ships",28,,7640,,,225282,,
"China","All ships",14,1.05,33683,46551,4561,237000,404389,24116
"China","Liquid bulk carriers",13,1.11,21119,37036,,170618,323514,
"China","Liquefied petroleum gas carriers",14,1.02,10025,10878,,60784,64220,
"China","Liquefied natural gas carriers",10,1.16,96307,76569,,168189,155159,
"China","Dry bulk carriers",14,2.01,43030,78610,,204014,404389,
"China","Dry breakbulk carriers",17,1.32,11160,15617,,149944,175897,
"China","Roll-on/ roll-off ships",14,,27181,9672,,89797,47528,
"China","Container ships",13,0.6,48856,,4561,237000,,24116
"China","Passenger ships",13,,19392,,,171598,,
"Croatia","All ships",18,1.31,3901,21393,4277,157844,306506,15500
"Croatia","Liquid bulk carriers",16,1.03,17197,29495,,157844,306506,
"Croatia","Liquefied natural gas carriers",7,2.45,112138,91365,,120709,95788,
"Croatia","Dry bulk carriers",22,2.24,17579,30032,,94090,182820,
"Croatia","Dry breakbulk carriers",23,2.81,5141,7022,,149944,175897,
"Croatia","Container ships",17,0.67,46467,,4277,153774,,15500
"Croatia","Passenger ships",18,,3511,,,155873,,
"Denmark","All ships",22,0.74,9990,7491,1978,214286,180086,19630
"Denmark","Liquid bulk carriers",18,0.67,7685,12229,,93759,164787,
"Denmark","Liquefied petroleum gas carriers",13,1.27,3844,4240,,13549,15070,
"Denmark","Dry bulk carriers",12,0.81,10069,16442,,94863,180086,
"Denmark","Dry breakbulk carriers",24,0.8,3104,4313,,49091,63581,
"Denmark","Roll-on/ roll-off ships",18,,23619,12755,,72708,48988,
"Denmark","Container ships",17,0.57,21745,,1978,214286,,19630
"Denmark","Passenger ships",22,,10400,,,183200,,
"France","All ships",18,1.14,23198,18991,5579,236583,320916,24116
"France","Liquid bulk carriers",13,1.05,13965,24091,,166639,320916,
"France","Liquefied petroleum gas carriers",13,1.22,8973,9993,,53573,58312,
"France","Liquefied natural gas carriers",9,1.14,105836,82753,,163922,130442,
"France","Dry bulk carriers",15,3.25,24441,42694,,106251,207867,
"France","Dry breakbulk carriers",20,1.53,4508,6514,,149944,175897,
"France","Roll-on/ roll-off ships",19,,27389,11440,,76420,45200,
"France","Container ships",14,0.85,61200,,5579,236583,,24116
"France","Passenger ships",19,,24031,,,228081,,
"Germany","All ships",22,0.64,13133,9747,5015,237000,321300,24004
